Region,Crop,Year,Production_Tonnes,Population
Region_01,Wheat,2015,137896,800015
Region_01,Wheat,2015,178349,945516
Region_01,Wheat,2015,25700,69091
Region_01,Wheat,2015,169638,699258
Region_01,Wheat,2015,105605,247348
Region_01,Wheat,2015,91343,516525
Region_01,Wheat,2015,111122,80419
Region_01,Wheat,2016,204517,478270
Region_01,Wheat,2016,28642,105172
Region_01,Wheat,2016,68251,473316
Region_01,Wheat,2016,78779,436209
Region_01,Wheat,2016,56359,80791
Region_01,Wheat,2016,93256,427937
Region_01,Wheat,2016,114144,759764
Region_01,Wheat,2017,30762,318638
Region_01,Wheat,2017,92053,172818
Region_01,Wheat,2017,145615,1000000
Region_01,Wheat,2017,110847,245938
Region_01,Wheat,2017,122844,859615
Region_01,Wheat,2017,127945,728796
Region_01,Wheat,2017,126469,366786
Region_01,Wheat,2018,33247,249821
Region_01,Wheat,2018,114811,690897
Region_01,Wheat,2018,77581,398607
Region_01,Wheat,2018,273755,218316
Region_01,Wheat,2018,143211,766322
Region_01,Wheat,2018,89053,796042
Region_01,Wheat,2018,132105,566757
Region_01,Wheat,2019,159416,868624
Region_01,Wheat,2019,126362,298029
Region_01,Wheat,2019,56316,418785
Region_01,Wheat,2019,84930,780336
Region_01,Wheat,2019,83629,266220
Region_01,Wheat,2019,114022,140258
Region_01,Wheat,2019,55066,851794
Region_01,Wheat,2020,107029,399247
Region_01,Wheat,2020,174129,482570
Region_01,Wheat,2020,89439,72559
Region_01,Wheat,2020,30549,632766
Region_01,Wheat,2020,129999,414496
Region_01,Wheat,2020,142020,826752
Region_01,Wheat,2020,132612,478135
Region_01,Wheat,2021,195417,754613
Region_01,Wheat,2021,20261,570757
Region_01,Wheat,2021,157797,990000
Region_01,Wheat,2021,195603,478440
Region_01,Wheat,2021,78416,458381
Region_01,Wheat,2021,134455,405538
Region_01,Wheat,2021,127344,434597
Region_01,Wheat,2022,189341,86362
Region_01,Wheat,2022,193908,729574
Region_01,Wheat,2022,126476,832964
Region_01,Wheat,2022,98846,298035
Region_01,Wheat,2022,152539,108895
Region_01,Wheat,2022,232271,582596
Region_01,Wheat,2022,154271,606802
Region_01,Wheat,2023,153490,420338
Region_01,Wheat,2023,104818,923121
Region_01,Wheat,2023,102839,436235
Region_01,Wheat,2023,79376,688661
Region_01,Wheat,2023,175002,698243
Region_01,Wheat,2023,246531,743786
Region_01,Wheat,2023,166041,1000000
Region_01,Rice,2015,144499,339347
Region_01,Rice,2015,65299,933710
Region_01,Rice,2015,75105,446817
Region_01,Rice,2015,67927,51668
Region_01,Rice,2015,146378,336869
Region_01,Rice,2015,70075,380953
Region_01,Rice,2015,164312,737036
Region_01,Rice,2016,113932,406335
Region_01,Rice,2016,55329,855196
Region_01,Rice,2016,119669,351733
Region_01,Rice,2016,147683,197028
Region_01,Rice,2016,101612,972629
Region_01,Rice,2016,145868,671616
Region_01,Rice,2016,132361,350093
Region_01,Rice,2017,500,377854
Region_01,Rice,2017,151473,735981
Region_01,Rice,2017,88443,112552
Region_01,Rice,2017,100335,532158
Region_01,Rice,2017,174905,872972
