Region,Crop,Year,Production_Tonnes,Population
Region_001,Wheat,2010,60413,876616
Region_001,Wheat,2010,59837,119547
Region_001,Wheat,2010,164819,804452
Region_001,Wheat,2010,58032,887558
Region_001,Wheat,2011,97297,461964
Region_001,Wheat,2011,115995,808172
Region_001,Wheat,2011,191721,997830
Region_001,Wheat,2011,128255,921861
Region_001,Wheat,2012,129714,816097
Region_001,Wheat,2012,85008,969442
Region_001,Wheat,2012,76371,146913
Region_001,Wheat,2012,29160,771004
Region_001,Wheat,2013,22170,569185
Region_001,Wheat,2013,124258,305760
Region_001,Wheat,2013,86399,1000000
Region_001,Wheat,2013,56963,375494
Region_001,Wheat,2014,90383,949225
Region_001,Wheat,2014,68592,471334
Region_001,Wheat,2014,166092,573141
Region_001,Wheat,2014,207659,236918
Region_001,Wheat,2015,54433,206907
Region_001,Wheat,2015,211778,394790
Region_001,Wheat,2015,65084,191454
Region_001,Wheat,2015,32344,232558
Region_001,Wheat,2016,74641,192591
Region_001,Wheat,2016,162702,587737
Region_001,Wheat,2016,28449,224135
Region_001,Wheat,2016,98508,976838
Region_001,Wheat,2017,70850,1000000
Region_001,Wheat,2017,115015,777254
Region_001,Wheat,2017,151120,404048
Region_001,Wheat,2017,180601,73202
Region_001,Wheat,2018,63104,820033
Region_001,Wheat,2018,224354,103121
Region_001,Wheat,2018,173000,134435
Region_001,Wheat,2018,177222,633601
Region_001,Wheat,2019,122099,656547
Region_001,Wheat,2019,235661,991593
Region_001,Wheat,2019,154744,774725
Region_001,Wheat,2019,152214,96477
Region_001,Wheat,2020,87468,221873
Region_001,Wheat,2020,90851,328721
Region_001,Wheat,2020,89938,701389
Region_001,Wheat,2020,123385,137144
Region_001,Wheat,2021,111632,535195
Region_001,Wheat,2021,152659,844236
Region_001,Wheat,2021,195857,490647
Region_001,Wheat,2021,120543,814582
Region_001,Wheat,2022,212694,499868
Region_001,Wheat,2022,147446,206204
Region_001,Wheat,2022,79226,809870
Region_001,Wheat,2022,55935,364621
Region_001,Wheat,2023,174730,251007
Region_001,Wheat,2023,196959,888895
Region_001,Wheat,2023,150459,287260
Region_001,Wheat,2023,63274,389747
Region_001,Wheat,2024,142763,970589
Region_001,Wheat,2024,156182,771697
Region_001,Wheat,2024,216453,499877
Region_001,Wheat,2024,39305,454464
Region_001,Rice,2010,133520,540265
Region_001,Rice,2010,151954,172906
Region_001,Rice,2010,106649,800537
Region_001,Rice,2010,73922,210549
Region_001,Rice,2011,86269,369875
Region_001,Rice,2011,173237,558670
Region_001,Rice,2011,104837,163792
Region_001,Rice,2011,108166,472786
Region_001,Rice,2012,62744,318087
Region_001,Rice,2012,201680,747998
Region_001,Rice,2012,122045,141173
Region_001,Rice,2012,146028,841317
Region_001,Rice,2013,69953,912738
Region_001,Rice,2013,61804,136797
Region_001,Rice,2013,103510,445811
Region_001,Rice,2013,100745,665467
Region_001,Rice,2014,145191,573966
Region_001,Rice,2014,149374,309709
Region_001,Rice,2014,88738,79240
Region_001,Rice,2014,129812,490562
Region_001,Rice,2015,202163,322674
Region_001,Rice,2015,182290,103064
Region_001,Rice,2015,98671,656432
Region_001,Rice,2015,119973,946506
Region_001,Rice,2016,183454,477351
Region_001,Rice,2016,182480,693625
Region_001,Rice,2016,300000,402482
Region_001,Rice,2016,157275,66187
Region_001,Rice,2017,204772,159784
Region_001,Rice,2017,87224,230118
Region_001,Rice,2017,113117,574612
Region_001,Rice,2017,134598,500482
Region_001,Rice,2018,243348,477438
Region_001,Rice,2018,150208,788067
Region_001,Rice,2018,198293,125354
Region_001,Rice,2018,500,556020
Region_001,Rice,2019,188342,736376
Region_001,Rice,2019,227160,1000000
Region_001,Rice,2019,227422,652938
Region_001,Rice,2019,78137,378213
Region_001,Rice,2020,68616,59025
Region_001,Rice,2020,141371,315282
Region_001,Rice,2020,196577,201866
Region_001,Rice,2020,71014,485796
Region_001,Rice,2021,123236,593808
Region_001,Rice,2021,152057,943208
Region_001,Rice,2021,130549,499316
Region_001,Rice,2021,137352,183158
Region_001,Rice,2022,66307,549765
Region_001,Rice,2022,182157,355413
Region_001,Rice,2022,138691,633495
Region_001,Rice,2022,52807,531024
Region_001,Rice,2023,72789,881675
Region_001,Rice,2023,97991,308154
Region_001,Rice,2023,176123,384454
Region_001,Rice,2023,90548,56264
Region_001,Rice,2024,175863,468242
Region_001,Rice,2024,206216,573491
Region_001,Rice,2024,131926,389865
Region_001,Rice,2024,181553,924091
Region_001,Maize,2010,67036,408435
Region_001,Maize,2010,101027,748033
Region_001,Maize,2010,57464,774134
Region_001,Maize,2010,32069,657132
Region_001,Maize,2011,78641,998302
Region_001,Maize,2011,144228,339175
Region_001,Maize,2011,164505,420245
Region_001,Maize,2011,168400,968460
Region_001,Maize,2012,125896,556839
Region_001,Maize,2012,13091,673135
Region_001,Maize,2012,20015,480031
Region_001,Maize,2012,103415,928849
Region_001,Maize,2013,154570,365709
Region_001,Maize,2013,83873,237332
Region_001,Maize,2013,142299,622160
Region_001,Maize,2013,155179,823730
Region_001,Maize,2014,59761,722135
Region_001,Maize,2014,98337,520119
Region_001,Maize,2014,6683,761668
Region_001,Maize,2014,98193,742681
Region_001,Maize,2015,57277,617860
Region_001,Maize,2015,150705,253188
Region_001,Maize,2015,93707,134799
Region_001,Maize,2015,154276,976621
Region_001,Maize,2016,153378,114148
Region_001,Maize,2016,65713,1000000
Region_001,Maize,2016,112127,833555
Region_001,Maize,2016,57772,1000000
Region_001,Maize,2017,39397,312559
Region_001,Maize,2017,71156,359057
Region_001,Maize,2017,190591,427772
Region_001,Maize,2017,133155,251764
Region_001,Maize,2018,158439,823818
Region_001,Maize,2018,103239,806454
Region_001,Maize,2018,152870,339208
Region_001,Maize,2018,35879,490276
Region_001,Maize,2019,204877,557333
Region_001,Maize,2019,123716,548219
Region_001,Maize,2019,43397,629557
Region_001,Maize,2019,68993,65702
Region_001,Maize,2020,145631,239920
Region_001,Maize,2020,59441,512718
Region_001,Maize,2020,61879,707247
Region_001,Maize,2020,47606,543103
Region_001,Maize,2021,173946,823720
Region_001,Maize,2021,68108,577931
Region_001,Maize,2021,53209,474090
Region_001,Maize,2021,99646,362384
Region_001,Maize,2022,221990,488699
Region_001,Maize,2022,98669,820642
Region_001,Maize,2022,63742,1000000
Region_001,Maize,2022,64250,1000000
Region_001,Maize,2023,101116,73496
Region_001,Maize,2023,138927,746917
Region_001,Maize,2023,126603,807025
Region_001,Maize,2023,151753,199952
Region_001,Maize,2024,77047,1000000
Region_001,Maize,2024,144941,990611
Region_001,Maize,2024,152499,677872
Region_001,Maize,2024,54861,259839
Region_001,Barley,2010,164268,387339
Region_001,Barley,2010,81558,422296
Region_001,Barley,2010,73753,436150
Region_001,Barley,2010,119651,820390
Region_001,Barley,2011,123123,214222
Region_001,Barley,2011,157362,350818
Region_001,Barley,2011,89271,148777
Region_001,Barley,2011,6860,933465
Region_001,Barley,2012,118485,168429
Region_001,Barley,2012,120971,461802
Region_001,Barley,2012,221294,918945
Region_001,Barley,2012,146188,353451
Region_001,Barley,2013,242221,397964
Region_001,Barley,2013,35565,822687
Region_001,Barley,2013,122408,490624
Region_001,Barley,2013,117416,262223
Region_001,Barley,2014,179695,610437
Region_001,Barley,2014,163358,360432
Region_001,Barley,2014,115495,84544
Region_001,Barley,2014,53008,970042
Region_001,Barley,2015,129236,153312
Region_001,Barley,2015,142470,713440
Region_001,Barley,2015,93379,708743
Region_001,Barley,2015,80105,987638
Region_001,Barley,2016,110757,913752
Region_001,Barley,2016,171225,899401
Region_001,Barley,2016,130937,194646
Region_001,Barley,2016,76376,855187
Region_001,Barley,2017,104452,151118
Region_001,Barley,2017,194116,607832
Region_001,Barley,2017,82878,994555
Region_001,Barley,2017,100777,502520
Region_001,Barley,2018,71059,297825
Region_001,Barley,2018,111380,558538
Region_001,Barley,2018,186845,926607
Region_001,Barley,2018,167732,109042
Region_001,Barley,2019,215034,977624
Region_001,Barley,2019,78421,769615
Region_001,Barley,2019,145325,655409
Region_001,Barley,2019,133148,389583
Region_001,Barley,2020,115403,917021
Region_001,Barley,2020,116762,520855
Region_001,Barley,2020,75323,560315
Region_001,Barley,2020,46549,983618
